image_id,top1,top5,top10,top50,top100,AUC
camera0_4_image000330,0.0,0.0,0.0,0.0008922740547145548,0.0999861457571077,0.02565460582211941
camera0_4_image000340,0.0,0.0,0.0,0.0003388147046110361,0.10792064160283996,0.027406693957358265
camera0_4_image000350,0.0,0.0008424821945820879,0.0006547630814746389,0.001361678109142018,0.11305843891906463,0.029356159869664403
camera0_4_image000360,0.0,0.0009179453193948805,0.0006699653028115495,0.002308700077573876,0.11492812285349444,0.030265652000794868
camera0_4_image000370,0.0,0.0011077127665159044,0.0006481362218825857,0.0021517187293289518,0.1173101546315126,0.030799484657063305
camera0_4_image000380,0.0026324717383201467,0.0030696375465295886,0.0018394257834427222,0.004753952611909572,0.1219931011901158,0.03357798777628563
camera0_4_image000390,0.004047733710702118,0.005172149415730593,0.002792019970800248,0.006865615125462805,0.1249803947489314,0.03563285998489165
camera0_4_image000400,0.003748754684328866,0.006238996311557116,0.003337469774001036,0.003954781800378508,0.12613730520681474,0.03476832195831368
camera0_4_image000410,0.0026451615200746886,0.0009973830378958133,0.0005763308053369565,0.002671871411188073,0.12517743087818992,0.033054706821100406
camera0_4_image000420,0.0026969872614770246,0.0032573385136854187,0.0018700079598899888,0.007436366188652037,0.12583106637995597,0.035783235504245135
camera0_4_image000430,0.002691970928404488,0.00342312339532335,0.001972308749978858,0.012848630705972754,0.12665297959403765,0.03848159409727238
camera0_4_image000440,0.0,0.005140904413156865,0.002849613982734744,0.015804469749282086,0.12569621576018222,0.03980663552720149
camera0_4_image000450,0.002769549113999126,0.006150827958463905,0.003360845713027362,0.011737816100623336,0.13557883539500215,0.04067181274734611
camera0_4_image000460,0.0027049228272339283,0.028689165588369574,0.01890457429407733,0.027490373469969853,0.13383571978792935,0.051947715285512085
camera0_4_image000470,0.017668376582405648,0.16818881849515221,0.08652719501922335,0.04442570899469512,0.13878452275792794,0.08290725553570624
camera0_4_image000480,0.03348858178076925,0.2561501355429147,0.22948749616355804,0.08630528116931821,0.14657634718910345,0.1407198764599139
camera0_4_image000490,0.002894933730697214,0.023813794819672444,0.10781777562531765,0.12606840153612586,0.16081714124190147,0.12355917672618834
camera0_5_image000001,0.0,0.0013975678966635463,0.0017457930253792324,0.1499423281240644,0.16457734200420457,0.1101758354979184
camera0_5_image000011,0.0,0.025743567780979564,0.1384123195582461,0.224885045113801,0.1692584729444479,0.17759002120007078
camera0_5_image000021,0.0,0.0009373402011161813,0.22906701658888748,0.2724988107485383,0.17637901706226466,0.22050654357975366
camera0_5_image000031,0.0,0.2810879822592456,0.4316008374546456,0.35895931212612364,0.19878590520263362,0.32422961049128496
camera0_5_image000041,0.0,0.3082061430825285,0.44861332354235395,0.4206126495362006,0.21833341916523338,0.3622892134528671
camera0_5_image000051,0.0,0.2791579036298446,0.4389755312255529,0.4215192638312625,0.225097556909488,0.36089864458639287
camera0_5_image000061,0.0,0.17773041840733356,0.4101868658120358,0.3219948960712395,0.20613980385512415,0.2997197654867413
camera0_5_image000071,0.0,0.11361445512799852,0.1786245730104061,0.18224076140139725,0.17364269566896073,0.17244666258178643
camera0_5_image000081,0.0,0.0008297165391651069,0.000444062487692755,0.039594202739818105,0.14341541596730464,0.054352016695694005
camera0_5_image000091,0.0,0.0006606480165765273,0.0004039468315029512,0.023346423811952934,0.13955474690925943,0.04597494408134073
camera0_5_image000101,0.0,0.0008683255258358668,0.0004825049209777861,0.05961944936594077,0.14751311878627965,0.06449966683548003
camera0_5_image000111,0.0,0.0010183838151991685,0.0009338120155286937,0.06090002326637857,0.15649540398122977,0.06745939034379297
camera0_5_image000121,0.002111325371966107,0.0009682381780984949,0.0022589808856003954,0.16855215363889872,0.18177967810806153,0.12311864301942671
camera0_5_image000131,0.0021515945031965406,0.0011205834303091397,0.0009239455798519734,0.24805061856665997,0.18661279233258163,0.16017911347276295
camera0_5_image000141,0.0,0.0012058270400695913,0.11100025221447678,0.30294404074844783,0.1930147800459913,0.21172508314480568
camera0_5_image000151,0.0,0.0015366397135915145,0.2784073183062767,0.33200067245466797,0.19747081559842278,0.2641200019295228
camera0_5_image000161,0.0,0.0014267463860248165,0.25266728969099994,0.32756419041117385,0.1966456485703141,0.2560400420156064
camera0_5_image000171,0.0,0.02490797726672027,0.26583265347524915,0.34209718814737305,0.20283493793148744,0.2682683587455763
camera0_5_image000181,0.0,0.0014477408579230597,0.23507946035287777,0.3470025265140904,0.21334623177424908,0.2650966886797014
camera0_5_image000191,0.0021222159138860972,0.09311983141828038,0.3578313553465553,0.3609414071281512,0.21474965022063042,0.303894886311008
camera0_5_image000201,0.0021327307688346004,0.05107339918581185,0.34258951459963066,0.3700670633120903,0.2217489006382885,0.30443535556935847
camera0_5_image000211,0.0,0.0010659352932593151,0.2810873988243108,0.35893260425082935,0.22001287721415858,0.28264194246472385
camera0_5_image000221,0.0,0.001317744489432448,0.008643887599966257,0.3428935688164425,0.21970234488901627,0.21336552060774538
camera0_5_image000231,0.001994279901710851,0.20486112861264222,0.3715949148417841,0.3895033580079198,0.23017749623768397,0.32897815897776383
camera0_5_image000241,0.0,0.08298240126854778,0.30640152092243883,0.3638565945025974,0.22264255586278123,0.2950208654106006
camera0_5_image000251,0.002079010250878239,0.0477596484960829,0.29134626547941955,0.3535857851008069,0.21700972780070168,0.2839492013795418
camera0_5_image000261,0.0,0.013591627023731317,0.2575388847551214,0.34957972986653707,0.21787481022647925,0.2730681346288172
camera0_5_image000271,0.0,0.0012139517895426548,0.24831499350467987,0.3372754643778236,0.21448474389335798,0.2639602488004443
camera0_5_image000281,0.001995470045419756,0.005631740355783883,0.23049112830333965,0.350135507032947,0.2216270909143192,0.26779958836219536
camera0_5_image000291,0.002131801673682116,0.022200843672107267,0.2680708267764236,0.3791445485302914,0.2345530183867319,0.29354637521083327
